book_title,author,goodreads_url,reviews_count,avg_rating,shelves
A Bond with the Blood of Angels (The Beautifully Broken Saga #2),Inara Gage,https://www.goodreads.com/book/show/217679112-a-bond-with-the-blood-of-angels,,,
Reckless Faith (Reckless #4),Nyssa Kathryn,https://www.goodreads.com/book/show/217464708-reckless-faith,,,
'Till Death Do Us,L.C. Son,https://www.goodreads.com/book/show/217384999-till-death-do-us,,,
The Dark Becomes Her,Judy I. Lin,https://www.goodreads.com/book/show/204642442-the-dark-becomes-her,,,
"Tore Up (Mississippi Smoke, #1)",Abbi Glines,https://www.goodreads.com/book/show/220223196-tore-up,,,
Two Can Play,Ali Hazelwood,https://www.goodreads.com/book/show/217108838-two-can-play,,,
A Guardian Angel's Journey,Leon W. Poldy,https://www.goodreads.com/book/show/242863467-a-guardian-angel-s-journey,,,
"Retribution (Donaghey Brothers, #1)",Wendy Million,https://www.goodreads.com/book/show/57305490-retribution,,,
The Bloody Ruin Asylum & Taproom (Sam Quinn #7),Seana Kelly,https://www.goodreads.com/book/show/199602346-the-bloody-ruin-asylum-taproom,,,
"Sunday Morning (Sunday Morning, #1)",Jewel E. Ann,https://www.goodreads.com/book/show/213143986-sunday-morning,,,
Filthy Rich Santas,Eva Ashwood,https://www.goodreads.com/book/show/220331443-filthy-rich-santas,,,
The Fate of Eternity (Heir Academy #4),K.C. Kean,https://www.goodreads.com/book/show/218068666-the-fate-of-eternity,,,
"The Whispering Night (The Luminaries, #3)",Susan Dennard,https://www.goodreads.com/book/show/203579289-the-whispering-night,,,
"A Heart So Cold and Wicked (Mythic Holidays, #2)",Rebecca F. Kenney,https://www.goodreads.com/book/show/215343676-a-heart-so-cold-and-wicked,,,
Black Sheep (Smoke and Mirrors Book 3),Skye Warren,https://www.goodreads.com/book/show/217857641-black-sheep,,,
"His Greatest Treasure (Greatest Love, #4)",Hannah Cowan,https://www.goodreads.com/book/show/217473625-his-greatest-treasure,,,
Ruthless King (New Orleans Malones Book 4),Laylah Roberts,https://www.goodreads.com/book/show/213084367-ruthless-king,,,
"Guarded by the Reaper (Monster Security Agency, #9)",Cara Wylde,https://www.goodreads.com/book/show/215173894-guarded-by-the-reaper,,,
Shoestring Theory,Mariana Costa,https://www.goodreads.com/book/show/202763292-shoestring-theory,,,
The Hollow and the Haunted,Camilla Raines,https://www.goodreads.com/book/show/201090979-the-hollow-and-the-haunted,,,
Graham (Austin Fusion #2),Samantha Lind,https://www.goodreads.com/book/show/212962871-graham,,,
I Shall Never Fall in Love,Hari Conner,https://www.goodreads.com/book/show/199531795-i-shall-never-fall-in-love,,,
Cannon (Bluff Creek Brotherhood MC Book 6),Nat Logan,https://www.goodreads.com/book/show/218657042-cannon,,,
A Vile Season,David Ferraro,https://www.goodreads.com/book/show/123262670-a-vile-season,,,
Fledgling (The Keeper's Records of Revolution #1),S.K. Ali,https://www.goodreads.com/book/show/205064710-fledgling,,,
Guarded by an Alien Hunter,Michele Mills,https://www.goodreads.com/book/show/213310867-guarded-by-an-alien-hunter,,,
"Lightning in Her Hands (Wild Magic, #2)",Raquel Vasquez Gilliland,https://www.goodreads.com/book/show/205435089-lightning-in-her-hands,,,
"Resurgence of the Pack (The Other Wolf, #5)",Heather G. Harris,https://www.goodreads.com/book/show/205706467-resurgence-of-the-pack,,,
Quiet Longing (Quiet Love #2),L.H. Cosway,https://www.goodreads.com/book/show/218589374-quiet-longing,,,
Ten Mountain Men (Ten of a Kind #2),Liz  Archer,https://www.goodreads.com/book/show/215514642-ten-mountain-men,,,
Catch Her Heart (Vancouver Tridents #3),Julia Jarrett,https://www.goodreads.com/book/show/214198962-catch-her-heart,,,
"Their Kitten (Heaven and Hell, #7)",C. Hallman,https://www.goodreads.com/book/show/217988196-their-kitten,,,
Legend of the White Snake,Sher Lee,https://www.goodreads.com/book/show/122731864-legend-of-the-white-snake,,,
"Guarded by the Phantom (Monster Security Agency, #7)",Layla Fae,https://www.goodreads.com/book/show/213860478-guarded-by-the-phantom,,,
Possession (Leather & Chrome #4),Kiki Clark,https://www.goodreads.com/book/show/198960180-possession,,,
Choose The Bears (Ursa Shifters #6),Sam   Hall,https://www.goodreads.com/book/show/218724391-choose-the-bears,,,
Sweet Home Alabarden Park,T.J.  O'Shea,https://www.goodreads.com/book/show/205223876-sweet-home-alabarden-park,,,
Curvy Girl for the Boss,Emma Bray,https://www.goodreads.com/book/show/220665778-curvy-girl-for-the-boss,,,
Karma's Kiss,R.S. Grey,https://www.goodreads.com/book/show/220603197-karma-s-kiss,,,
"Guarded by the Nightmare (Monster Security Agency, #8)",Cassie Alexander,https://www.goodreads.com/book/show/213941220-guarded-by-the-nightmare,,,
Iron Willed Warrior (Last Refuge Protectors #5),Hannah Shield,https://www.goodreads.com/book/show/216447943-iron-willed-warrior,,,
"A Kingdom of Monsters (Wilde Fae, #4)",Kate   King,https://www.goodreads.com/book/show/211225236-a-kingdom-of-monsters,,,
"Brutal Husband (Brutal Hearts, #3)",Lilith Vincent,https://www.goodreads.com/book/show/217203676-brutal-husband,,,
"The Marriage Hex (Celestial Witches, #1)",Sarah   Blue,https://www.goodreads.com/book/show/216589301-the-marriage-hex,,,
House of Mages and Raven (Shades of Ruin and Magic 4),Meg Xuemei X,https://www.goodreads.com/book/show/212298266-house-of-mages-and-raven,,,
Rest In Pieces (Raven Souls MC #1),Candice M.  Wright,https://www.goodreads.com/book/show/219261770-rest-in-pieces,,,
