book_title,author,goodreads_url,reviews_count,avg_rating,shelves
"Bellamy (Sons of the Fallen, #5)",Jaclyn Osborn,https://www.goodreads.com/book/show/60062583-bellamy,,,
Playing the Ace (Secret Service #2),Tamara Allen,https://www.goodreads.com/book/show/33526614-playing-the-ace,,,
"Demon's Game (Demon Mates, #2)",Xenia Melzer,https://www.goodreads.com/book/show/59819771-demon-s-game,,,
Blue Moon Rising (Moonlight Prophecies #2),Amanda Meuwissen,https://www.goodreads.com/book/show/61164786-blue-moon-rising,,,
Tamed (The Courtside King Duology #1),Kora Knight,https://www.goodreads.com/book/show/60064187-tamed,,,
"Edge Lines (Fallen Messengers, #3)",Ava Marie Salinger,https://www.goodreads.com/book/show/58025736-edge-lines,,,
The Humiliation and Imprisonment of Count Leopold de Rohan,K.A. Merikan,https://www.goodreads.com/book/show/61274131-the-humiliation-and-imprisonment-of-count-leopold-de-rohan,,,
"Claimed (The Courtside King Duology, #2)",Kora Knight,https://www.goodreads.com/book/show/60404912-claimed,,,
"Gray (Sons of the Fallen, #4)",Jaclyn Osborn,https://www.goodreads.com/book/show/59545214-gray,,,
Mighty Quill (Sanguis et Fauna #1),Emmaline Strange,https://www.goodreads.com/book/show/60551736-mighty-quill,,,
Shah Mat (Shattered Pawns #4),Jennifer Cody,https://www.goodreads.com/book/show/63025831-shah-mat,,,
The Scars That Bind Us (The Magi Accounts #1),Michele Notaro,https://www.goodreads.com/book/show/59588128-the-scars-that-bind-us,,,
The Real Thing,Elizabeth Hollows,https://www.goodreads.com/book/show/59819969-the-real-thing,,,
"A King to be Crowned (Our King, Our Master, #4)",Brea Alepoú,https://www.goodreads.com/book/show/58641303-a-king-to-be-crowned,,,
"Naughty Neil (Hidden Species, #1.5)",Louisa Masters,https://www.goodreads.com/book/show/63133931-naughty-neil,,,
True North,Corey Kerr,https://www.goodreads.com/book/show/59626980-true-north,,,
Sailor's Delight,Rose Lerner,https://www.goodreads.com/book/show/62095335-sailor-s-delight,,,
Sorcery's Kiss (Demon Tales and Fairy Games #1),Kayleigh Sky,https://www.goodreads.com/book/show/61197272-sorcery-s-kiss,,,
Love Conquers (Crush #0.5),Elouise East,https://www.goodreads.com/book/show/58485969-love-conquers,,,
Sweet to the Core (Lighthouse Bay #3),Amy Aislin,https://www.goodreads.com/book/show/60887331-sweet-to-the-core,,,
Tension (Lunar Wolves #2),Kiki Burrelli,https://www.goodreads.com/book/show/61307267-tension,,,
"Seth (Johnson Family Rules, #3)",Carly Marie,https://www.goodreads.com/book/show/59521617-seth,,,
The Straight Friend,Raleigh Ruebins,https://www.goodreads.com/book/show/59994087-the-straight-friend,,,
Grave Danger (Critter Catchers: Level Up #1),Hank  Edwards,https://www.goodreads.com/book/show/60697583-grave-danger,,,
"Guardian Angel in Leather (Sex & Mayhem, #13)",K.A. Merikan,https://www.goodreads.com/book/show/59995176-guardian-angel-in-leather,,,
Nothing Ordinary (Hit and Run #0),E.M. Lindsey,https://www.goodreads.com/book/show/60071394-nothing-ordinary,,,
